Population	Sample_no	Sample_id	Prediction	Lat	Lon
Papua_New_Guinea_highland	7	GRC12083637	Antananarivo_Madagascar_0	-10.09802230688002	77.64108737801651
Papua_New_Guinea_highland	8	GRC12083638	Nasioi_Bougainville_0	-6.052675856064607	155.17689767519246
Papua_New_Guinea_highland	9	GRC12083632	AYMARA_URO_0	-15.749999999998593	-69.42000000000567
Parayar	1	GRC12081939	Gond_Ori_0	22.55165471769825	72.37495560070285
Parayar	2	GRC12081973	Parayar_0	13.009305123614034	79.85721641732107
Parsee	1	GRC12081995	Iran_1	32.62738437132112	53.53861007811955
Peru	1	GRC11075052	AYMARA_URO_0	-14.599593240216722	-70.38874385821575
Peru	2	GRC11075059	AYMARA_URO_0	[-13.0291096]	[-71.76046833]
Peru	3	GRC11075050	Bermudian_1	32.29152243234522	-64.80001200802896
Peru	4	GRC11075053	Bermudian_1	32.29163700089654	-64.80017020420046
Peru	5	GRC11075055	Guanajuato_Mexico_0	18.801353735354635	-98.73182242429947
Peru	6	GRC11075057	AYMARA_URO_0	-8.820604579502199	-75.23539501318062
Peru	7	GRC11075058	Guanajuato_Mexico_0	20.652787102276562	-100.79499800641345
Peru	8	GRC11075060	Guanajuato_Mexico_0	20.264010566382893	-100.42098286454004
Peru	9	GRC11075049	Guanajuato_Mexico_0	20.603522067451955	-100.08536504621438
Peru	10	GRC11075051	Guanajuato_Mexico_0	20.592115841940103	-99.86435096902822
Peru	11	GRC11075054	Guanajuato_Mexico_0	20.8626869408892	-100.8960597412465
Peru	12	GRC11075056	Peru_4	-7.343709394504727	-80.13145368323289
Puerto_Rico	1	GRC12084607	Bermudian_1	32.14541024077433	-64.55433410706905
Puerto_Rico	2	GRC12084608	Andilambe_Madagascar_0	-15.276194410000763	46.850184761411356
Puerto_Rico	3	GRC12084610	Ambilobe_Madagascar_3	-10.416373533963517	40.777274990904736
Puerto_Rico	4	GRC12084614	Bermudian_1	32.26145524887592	-64.59767351670742
Puerto_Rico	5	GRC12084606	Andilambe_Madagascar_0	nan	nan
Puerto_Rico	6	GRC12084603	Bermudian_1	32.34239840758648	-64.27613372598401
Puerto_Rico	7	GRC12084604	Bermudian_1	32.34763431360975	-64.25165944620728
Puerto_Rico	8	GRC12084609	Bermudian_1	32.32722559981227	-64.47676110788127
Puerto_Rico	9	GRC12084611	Bulgaria_1	40.63806125144787	16.14115509019085
Puerto_Rico	10	GRC12084612	Bulgaria_2	41.998708208901334	21.01840620531516
Puerto_Rico	11	GRC12084615	Bermudian_1	33.01884920594973	-57.865303715234376
Puerto_Rico	12	GRC12084605	Bermudian_1	32.60064409699012	-61.87194573739551
Puerto_Rico	13	GRC12084613	Bermudian_1	32.30630001451431	-64.6716778981764
Puerto_Rico	14	GRC12084616	Bermudian_1	32.301994509184944	-64.49216666656284
Puerto_Rico	15	GRC12084617	Puerto_Rico_4	18.523850463348474	-65.92586781111018
Pulayar	1	GRC12081945	Binjhal_0	22.566663818660565	88.35677163010469
Pulayar	2	GRC12081976	Pulayar_0	8.517342520040584	76.95697633179613
QUECHUA	1	GRC12081927	AYMARA_URO_0	-15.593765888895403	-69.55041124055093
QUECHUA	2	GRC12081928	AYMARA_URO_0	-14.559114242820788	-70.41296820195221
QUECHUA	3	GRC12081930	AYMARA_URO_0	-14.700860083591929	-70.2954584406199
QUECHUA	4	GRC12081931	Guanajuato_Mexico_0	20.83367454297836	-100.96370808182833
QUECHUA	5	GRC12081926	AYMARA_URO_0	[-12.80727673]	[-71.93738038]
QUECHUA	6	GRC12081929	AYMARA_URO_0	-14.89161295736157	-70.14083227247677
QUECHUA	7	GRC12081998	AYMARA_URO_0	-15.749999999998593	-69.42000000000567
Queretaro_Mexico	1	GRC12084618	Hidalgo_Mexico_3	19.48817312514207	-97.97055808141789
Rajput_Kinnura	1	GRC12081933	Tharu_0	28.636180096824734	81.23838517316898
Rajput_Rajasthan	1	GRC12081941	Gujarati_1	26.010199491094163	74.11576774808509
Reichenau_Mission_Underberg_KZN_RSA	1	GRC12084536	Johannesburg_Gauteng_RSA_0	-26.000979255875045	27.99954167055857
Relli	1	GRC12081986	Pulayar_0	9.62246111162922	75.95727121158245
Romania	1	GRC000868	Bulgaria_2	42.41851448886569	23.149184392934576
Romania	2	GRC001050	Bulgaria_2	42.42435799560459	23.150689838498664
Romania	3	GRC002130	Bulgaria_2	42.451551261696665	23.018550538039772
Romania	4	GRC10034898	Bulgaria_2	42.44038881961662	23.086336876395194
Romania	5	GRC10038272	Bulgaria_1	42.38418403216575	23.12177964350779
Romania	6	GRC11073453	Bulgaria_1	42.40756992286868	23.172505859402108
Romania	7	GRC017591	Bulgaria_1	42.39098115393863	23.185931212078405
Romania	8	GRC025491	Bulgaria_1	42.404899724658236	23.17893658443616
Romania	9	GRC10042263	Bulgaria_1	42.40130804442478	23.189937703162613
Romania	10	GRC11054201	Bulgaria_2	43.10743292077521	20.306165938359598
Romania	11	GRC11059201	Bulgaria_3	[45.95948163]	[19.00630715]
Romania	12	GRC031808	Bulgaria_2	42.804245926096705	21.428510458065343
Romania	13	GRC10043989	Bulgaria_2	42.44560299916361	22.980649266477254
Romania	14	GRC11049359	Bulgaria_2	42.446065193951476	23.019604182391262
Romania	15	GRC11054968	Bulgaria_3	43.3138084555764	23.47466159747122
Russians	1	GRC12076237	Dane_1	56.049335829177366	10.183855953806537
Russians	2	GRC12076248	Dane_1	55.982476066483045	10.057518273657958
Russians	3	GRC12076261	Dane_1	55.95994164999232	10.170422917268958
Russians	4	GRC12076308	Dane_1	55.98180466365397	10.216145922408614
Russians	5	GRC12076260	Dane_1	56.2146793683166	10.624524545526246
Russians	6	GRC12076272	Dane_1	56.17785209727197	10.407829729263721
Russians	7	GRC12076297	Dane_1	56.01631282595327	10.041866287222106
Russians	8	GRC12076309	Dane_1	56.63916151988809	11.663098608226367
Russians	9	GRC12076320	Dane_4	58.28496789570231	15.571553316173807
Russians	10	GRC12076236	Dane_1	55.98613331917849	10.053566472289953
Russians	11	GRC12076249	Dane_1	55.903559399380946	10.32856555357229
Russians	12	GRC12076273	Dane_1	55.9783126693556	10.122794663759832
Russians	13	GRC12076284	Dane_1	55.998349112422744	10.004221044390125
Russians	14	GRC12076285	Dane_1	55.980354169813516	10.085258957201123
Russians	15	GRC12076296	Dane_1	56.029828972987254	10.217750957649963
Russians	16	GRC12076321	Russians_4	[58.59748731]	[23.47943888]
Sardinian	1	GRC11074456	Greek_2	38.01191876304199	23.58672998312985
Sardinian	2	GRC11074457	Greek_2	37.978519884864816	23.68258588090632
Sardinian	3	GRC11074458	Greek_3	38.446660207098056	22.331996566745527
Sardinian	4	GRC11074464	Greek_2	37.99737188459131	23.62832277719565
Sardinian	5	GRC11074454	Greek_2	38.1783749496156	23.109969403101246
Sardinian	6	GRC11074460	Greek_2	37.97635887662329	23.688806970633237
Sardinian	7	GRC11074466	Greek_2	37.99866867922183	23.624673807181516
Sardinian	8	GRC11074467	Greek_2	37.9821706343168	23.672226397509068
Sardinian	9	GRC11074453	Greek_3	38.11685437193331	23.283896065371835
Sardinian	10	GRC11074455	Greek_2	38.03910013425085	23.508043098855584
Sardinian	11	GRC11074463	Greek_3	37.978754921470596	23.681450297509077
Sardinian	12	GRC11074459	Greek_2	37.97651122114067	23.68472139832164
Sardinian	13	GRC11074461	Greek_2	38.01876345515989	23.562930615785582
Sardinian	14	GRC11074462	Greek_2	38.15776724350861	23.16219748012806
Sardinian	15	GRC11074465	Sardinian_4	40.001948467408766	9.023102914420459
Sattibalija	1	GRC12081980	Valayar_0	11.866673175119509	78.89472226972929
Schmidtsdrift_Northern_Cape_RSA	1	GRC12084514	Andriesvale_Northern_Cape_RSA_0	-21.206488154116304	9.751951320573614
Schmidtsdrift_Northern_Cape_RSA	2	GRC12084516	Andriesvale_Northern_Cape_RSA_0	[-20.88481423]	[9.30413177]
Schmidtsdrift_Northern_Cape_RSA	3	GRC12084517	Andriesvale_Northern_Cape_RSA_0	[-21.00484023]	[9.47112222]
Schmidtsdrift_Northern_Cape_RSA	4	GRC12084518	Southeastern_Namibia_2	-27.963236302417815	19.59515511444509
Southeastern_Namibia	1	GRC12084565	Andilambe_Madagascar_0	-15.711998455757312	47.87967303109984
Southeastern_Namibia	2	GRC12084566	Andilambe_Madagascar_0	-15.737305161903189	47.94055416354381
Southeastern_Namibia	3	GRC12084567	Andriesvale_Northern_Cape_RSA_0	-28.539774676813124	19.856446006697457
Southeastern_Namibia	4	GRC12084568	Andriesvale_Northern_Cape_RSA_0	-29.222708335978016	20.884731312397328
Southeastern_Namibia	5	GRC12084569	Southeastern_Namibia_2	-28.094578504227222	19.540161968381142
Tajikistan	1	GRC12076286	Bulgaria_2	42.45444965506414	24.294269079680713
Tajikistan	2	GRC12076298	Bulgaria_2	42.42226337618326	23.558297891590406
Tajikistan	3	GRC12076310	Bulgaria_2	42.41582831166401	23.41998006800751
Tajikistan	4	GRC12076322	Bulgaria_2	42.41220076138785	23.285300568093508
Tajikistan	5	GRC12076250	Chechens_2	39.09787920804942	55.8469842419283
Tajikistan	6	GRC12076238	Chechens_2	43.33891044999903	45.75275404280812
Tajikistan	7	GRC12076262	Chechens_2	43.39731653146921	45.71834754811862
Tajikistan	8	GRC12076263	Chechens_2	43.16797157092303	45.89704544835086
Tajikistan	9	GRC12076275	Chechens_2	43.36393042434954	45.7362517209435
Tajikistan	10	GRC12076239	Chechens_2	43.38221758714576	45.756354981908075
Tajikistan	11	GRC12076251	Chechens_2	43.28809096829476	45.98346146238781
Tajikistan	12	GRC12076274	Chechens_2	43.33772427053117	45.86782229602153
Tajikistan	13	GRC12076299	Tajikistan_4	38.34950295398054	68.47642637442348
Tatars	1	GRC12076242	Finnish_2	63.85753820314416	24.61159796360524
Tatars	2	GRC12076302	Finnish_2	63.85862559861005	24.61198562351097
Tatars	3	GRC12076315	Finnish_2	63.91319131110797	24.686304106589603
Tatars	4	GRC12076327	Finnish_3	63.79713166911086	24.73128482417611
Tatars	5	GRC12076291	Finnish_1	63.99492375415172	24.57095251585594
Tatars	6	GRC12076314	Finnish_1	63.99538991689655	24.56984434441219
Tatars	7	GRC12076255	Finnish_4	63.7540294136195	24.600860668030947
Tatars	8	GRC12076267	Finnish_3	63.25336531619133	24.68219132879923
Tatars	9	GRC12076279	Finnish_4	63.842321547695995	24.582557886614936
Tatars	10	GRC12076303	Finnish_4	63.94026172312861	24.569908890905225
Tatars	11	GRC12076243	Finnish_2	63.643645435375205	24.63749990886659
Tatars	12	GRC12076254	Finnish_3	63.97750276720323	24.5637676808328
Tatars	13	GRC12076266	Bermudian_1	33.238840643253425	-62.02682115996788
Tatars	14	GRC12076278	Finnish_3	63.974192479508226	24.563953374781015
Tatars	15	GRC12076290	Tatars_4	55.18533481591501	50.632273912470026
Tharu	1	GRC12081965	Altaians_4	50.51954032202963	86.44286585848769
Tharu	2	GRC12081968	Tharu_0	27.765218799278287	82.4238090509354
Toliara_Madagascar	1	GRC12084564	Ambilobe_Madagascar_3	-13.141296694126737	49.19232643429663
Toliara_Madagascar	2	GRC12084559	Ambilobe_Madagascar_3	-13.130851666924071	49.28373058064398
Toliara_Madagascar	3	GRC12084562	Ambilobe_Madagascar_3	-13.13108950495376	49.287128275580535
Toliara_Madagascar	4	GRC12084563	Ambilobe_Madagascar_3	-13.239813910988557	49.19834550803211
Toliara_Madagascar	5	GRC12084560	Ambilobe_Madagascar_3	-13.830205653103363	47.15106398367496
Toliara_Madagascar	6	GRC12084561	Manakara_Madagascar_2	-21.786507748305226	46.35235230144674
Tsumkwe_Namibia	1	GRC12084521	Andriesvale_Northern_Cape_RSA_0	-28.539774676813124	19.856446006697457
Tsumkwe_Namibia	2	GRC12084523	Southeastern_Namibia_1	-27.25253555528594	19.236091088685722
Tunisia	1	GRC12076400	Egypt_2	26.922257437330387	30.87636973191088
Tunisia	2	GRC12076408	Egypt_2	26.834911599779165	30.814163856501164
Tunisia	3	GRC12076409	Egypt_2	26.85801435507745	30.8061369962837
Tunisia	4	GRC12076411	Egypt_2	26.841405917261472	30.81798119917005
Tunisia	5	GRC12076399	Egypt_2	26.983376965079874	31.21154769921574
Tunisia	6	GRC12076402	Egypt_2	26.85760135152406	30.877141537507107
Tunisia	7	GRC12076410	Egypt_2	26.845032820412147	30.85523343667945
Tunisia	8	GRC12076412	Egypt_2	27.328779390250517	32.14675078263691
Tunisia	9	GRC12076403	Egypt_2	26.822567838146067	30.804117010636396
Tunisia	10	GRC12076405	Egypt_2	26.823168020265694	30.805799774727042
Tunisia	11	GRC12076401	Egypt_2	26.95047355547223	31.132779908943807
Tunisia	12	GRC12076406	Tunisia_4	36.358054478221696	10.385428921153732
UK	1	GRC11074475	Dane_1	55.98048179970287	10.023438895715898
UK	2	GRC11074480	Dane_1	55.97751948784128	10.133691101142746
UK	3	GRC11074479	Dane_1	55.99741923514426	10.004419390704758
UK	4	GRC11074481	Dane_1	55.99630936624914	10.008044555732296
UK	5	GRC11074469	Dane_1	55.95271142618229	10.04115347453224
UK	6	GRC11074473	Dane_1	55.94695799312627	10.074522680030567
UK	7	GRC11074474	Dane_1	55.92294420873281	10.112136385210645
UK	8	GRC11074476	Dane_1	55.91020131941843	10.125494222412215
UK	9	GRC11074468	Dane_1	55.80028895583134	10.165192774348101
UK	10	GRC11074470	Dane_1	55.77753562149984	10.096800438631863
UK	11	GRC11074471	Dane_1	55.997694928393805	10.002892041632194
UK	12	GRC11074477	Dane_1	55.95598295203509	10.070937116506455
UK	13	GRC11074482	UK_4	[52.13642814]	[-2.39774464]
Underberg_KZN_RSA	1	GRC12084537	Andilambe_Madagascar_0	-15.626203744007748	47.65137184375489
Underberg_KZN_RSA	2	GRC12084538	Underberg_KZN_RSA_0	-29.350209825736982	29.25039698765957
Valayar	1	GRC12081972	Gujarati_1	26.572702369126507	73.82812326376342
Valayar	2	GRC12081974	Valayar_0	10.593825663885447	78.8817475310308
Vanuatu	1	GRC12083643	Nasioi_Bougainville_0	-6.049911764683126	155.1868322015272
Vanuatu	2	GRC12083644	Nasioi_Bougainville_0	-6.049827463609165	155.18728492724418
Vanuatu	3	GRC12083650	Antananarivo_Madagascar_0	-8.847625672621293	68.9276661574873
Vanuatu	4	GRC12083642	Antananarivo_Madagascar_0	-18.904354767622554	47.537303400743944
Vanuatu	5	GRC12083645	Antananarivo_Madagascar_0	-17.912051674227783	49.644434711765555
Vanuatu	6	GRC12083646	Antananarivo_Madagascar_0	-18.87906303844582	47.568901085817664
Vanuatu	7	GRC12083647	Antananarivo_Madagascar_0	-18.909545549153776	47.53060737106545
Vanuatu	8	GRC12083648	Antananarivo_Madagascar_0	-18.391174236063748	48.27355034006063
Vanuatu	9	GRC12083649	Antananarivo_Madagascar_0	-17.961504176208884	48.98181809231864
Vanuatu	10	GRC12083651	Vanuatu_3	-17.736297837160123	168.28373486699172
Vietnamese	1	GRC12076415	Chinese_1	39.549981861796	116.20000664130981
Vietnamese	2	GRC12076417	Chinese_1	39.54999971596797	116.2000000955799
Vietnamese	3	GRC12076418	Chinese_1	39.54999891457032	116.2000003326933
Vietnamese	4	GRC12076422	Chinese_1	39.54999955019871	116.20000015236329
Vietnamese	5	GRC12076425	Chinese_1	39.549968387103824	116.20001008029236
Vietnamese	6	GRC12076416	Chinese_1	39.54999963364604	116.20000012637641
Vietnamese	7	GRC12076419	Chinese_1	39.5499984575808	116.20000052700739
Vietnamese	8	GRC12076421	Chinese_1	39.54999484878834	116.20000174058137
Vietnamese	9	GRC12076423	Chinese_1	39.54995791693058	116.20001600685028
Vietnamese	10	GRC12076424	Chinese_1	39.549999701508625	116.20000010751411
Vietnamese	11	GRC12076420	Chinese_1	39.54999880839332	116.20000053505201
Vietnamese	12	GRC12076426	Vietnamese_3	14.000008086410332	108.00000300103089
Witdraai_Northern_Cape_RSA	1	GRC12084527	Schmidtsdrift_Northern_Cape_RSA_0	-26.748106301635357	20.859049253711266
Yoruba	1	GRC11075063	Hereroland_Namibia_2	-21.00862553772132	19.515082392593296
Yoruba	2	GRC11075068	Hereroland_Namibia_2	-21.000047430381418	19.500083212809958
Yoruba	3	GRC11075070	Hereroland_Namibia_2	-21.00430509570662	19.50687714563444
Yoruba	4	GRC11075061	Hereroland_Namibia_2	-21.11950615056016	19.713006275580394
Yoruba	5	GRC11075065	Hereroland_Namibia_2	-21.02464297287406	19.548656402120738
Yoruba	6	GRC11075067	Hereroland_Namibia_2	-21.000190164883332	19.50036790870261
Yoruba	7	GRC11075069	Hereroland_Namibia_2	-21.030958019586762	19.555854871215043
Yoruba	8	GRC11075066	Hereroland_Namibia_2	-21.348260753184498	20.12133906881695
Yoruba	9	GRC11075072	Hereroland_Namibia_2	-21.013387235076685	19.53642220516437
Yoruba	10	GRC11075062	Hereroland_Namibia_2	-21.108528661790345	19.686356583231515
Yoruba	11	GRC11075064	Hereroland_Namibia_2	-21.000357375010882	19.500629258107836
Yoruba	12	GRC11075071	Yoruba_4	7.999946784797319	4.000074342743459
